id,x,y,theta
104,167.6722066898157,188.2022223142114,0.8513911331054007
105,167.73715753838567,188.27871341516476,0.8514115161234789
106,167.80210838695564,188.3552045161181,0.8514318991415571
107,167.8670592355256,188.43169561707148,0.8514522821596353
108,167.93201008409557,188.50818671802483,0.8514726651777135
109,167.99696093266553,188.58467781897818,0.8514930481957916
110,168.0619117812355,188.66116891993155,0.8515134312138699
111,168.12686262980546,188.7376600208849,0.8515338142319481
112,168.19181347837542,188.81415112183825,0.8515541972500262
113,168.2567643269454,188.89064222279163,0.8515745802681044
114,168.32171517551535,188.96713332374497,0.8515949632861827
115,168.38666602408532,189.04362442469832,0.8516153463042608
116,168.45161687265528,189.1201155256517,0.851635729322339
117,168.51656772122524,189.19660662660505,0.8516561123404172
118,168.5815185697952,189.2730977275584,0.8516764953584954
